Sector,Tiene_Parqueadero_Num,Precio_Venta_COP,Estrato,Area_Construida_m2,Distancia_CC_SanNicolas_km,Conjunto_Cerrado_Num,Urbana_Rural_Num,Topografia_Num
Corregimiento Sur (Cabeceras),1,2705000000,4,276.91,14.0,1,0,2
Comuna 2 (San Antonio),1,485000000,4,101.59,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3623000000,6,448.17,12.0,1,0,1
Comuna 4 (El Porvenir),1,641000000,4,125.88,2.5,1,1,0
Comuna 2 (San Antonio),1,707000000,3,157.73,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,2037000000,3,1726.15,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,3117000000,5,263.24,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1281000000,3,1059.31,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1703000000,3,213.51,10.0,0,0,3
Comuna 4 (El Porvenir),1,754000000,3,167.89,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,2035000000,4,228.24,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,587000000,2,111.88,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1045000000,3,869.52,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,521000000,3,87.13,12.0,0,1,1
Comuna 1 (Centro Histórico),0,468000000,2,139.63,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2019000000,4,241.21,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,2639000000,4,268.78,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,2105000000,4,1344.06,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,5296000000,6,604.07,12.0,1,0,1
Comuna 4 (El Porvenir),1,864000000,4,173.08,2.5,1,1,0
Comuna 2 (San Antonio),1,569000000,4,114.34,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,4911000000,6,352.66,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,3801000000,6,262.71,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,555000000,3,88.47,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1605000000,3,212.22,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1214000000,3,1001.91,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,2210000000,4,1377.16,6.0,0,0,2
Comuna 1 (Centro Histórico),0,327000000,2,95.65,1.5,0,1,0
Comuna 1 (Centro Histórico),0,699000000,4,142.66,1.5,0,1,0
Comuna 4 (El Porvenir),1,928000000,3,195.23,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,500000000,3,84.16,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,3029000000,4,297.14,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1812000000,4,1116.9,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,5240000000,5,736.67,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,801000000,3,140.47,12.0,0,1,1
Comuna 4 (El Porvenir),1,827000000,4,163.15,2.5,1,1,0
Comuna 4 (El Porvenir),1,1175000000,4,218.03,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,502000000,2,104.98,12.0,0,1,1
Comuna 4 (El Porvenir),1,774000000,3,166.01,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,460000000,2,88.97,12.0,0,1,1
Comuna 2 (San Antonio),1,612000000,3,135.94,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,472000000,3,78.29,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1969000000,4,227.27,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,556000000,3,90.04,12.0,0,1,1
