Sector,Tiene_parqueadero,Precio_venta_COP,Estrato,Area_construida_m2,Distancia_CC_San_Nicolas_km,Urbana_Rural,Tiene_conjunto_cerrado,Topografia
Comuna 1 (Centro Histórico),0,389252381,3,68.1,1.54,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,238151548,3,69.9,1.96,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,4293356338,5,304.8,10.15,Rural,1,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),0,198208384,3,72.5,2.0,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,663867716,4,177.8,8.39,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,2566241518,5,366.8,11.7,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,329977473,2,77.2,0.92,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,534163794,2,127.0,11.49,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,439029486,4,89.7,4.2,Urbana,1,Plana
Comuna 4 (El Porvenir),1,394820545,3,67.3,2.82,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,326083945,4,77.4,1.33,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),0,282275726,4,47.5,2.19,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1617565674,6,190.3,18.83,Rural,1,Ondulada
Comuna 2 (San Antonio),1,387596438,3,84.0,3.52,Urbana,1,Plana
Comuna 2 (San Antonio),1,385458060,3,65.5,3.4,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,287650199,3,72.3,1.65,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,478457096,3,75.6,3.26,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3663643446,6,326.4,13.14,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,455937895,5,50.8,3.58,Urbana,1,Plana
Comuna 4 (El Porvenir),0,329044531,4,67.9,1.93,Urbana,1,Plana
Comuna 4 (El Porvenir),1,331255967,3,87.3,3.22,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,506674409,3,148.9,6.77,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,407600517,4,75.3,3.06,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,529617852,3,150.1,11.67,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,451572065,4,58.5,2.31,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),0,2855890344,6,327.2,9.26,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,933522605,4,160.3,4.85,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,554069852,3,154.8,10.81,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,244244340,2,62.4,1.89,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1493859764,5,192.0,13.52,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,258409509,2,71.0,1.18,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,439546254,4,66.2,2.86,Urbana,1,Plana
Comuna 2 (San Antonio),1,363198053,5,78.6,3.12,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,813754581,3,156.4,6.73,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,289716177,3,48.9,2.56,Urbana,0,Plana
Comuna 2 (San Antonio),1,440962497,3,67.9,3.39,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1562278526,4,204.3,12.95,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1657797931,5,202.0,16.36,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1424832623,5,174.1,13.7,Rural,1,Ondulada
Comuna 2 (San Antonio),1,341631106,3,74.7,2.02,Urbana,1,Plana
Comuna 4 (El Porvenir),1,380578527,3,52.4,2.76,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1566200429,6,193.0,13.84,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),0,3372871656,6,346.5,10.71,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,547795208,4,155.4,10.61,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,480545872,3,74.3,4.2,Urbana,1,Plana
Comuna 2 (San Antonio),1,423431363,3,97.6,4.06,Urbana,1,Plana
Comuna 4 (El Porvenir),1,474103306,4,60.9,3.01,Urbana,1,Plana
Comuna 2 (San Antonio),1,449853764,4,95.3,3.78,Urbana,0,Plana
Comuna 2 (San Antonio),1,462436734,4,85.6,4.21,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1319597891,6,127.1,16.06,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,297158052,4,62.3,2.4,Urbana,0,Plana
Corregimiento Sur (Cabeceras),1,1677833677,4,210.2,13.56,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),0,714112992,4,216.4,11.87,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,857823927,3,194.8,6.55,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,549134373,2,165.9,10.01,Rural,1,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),0,927785209,3,122.2,6.28,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1014764843,6,129.1,11.78,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,391053263,3,126.0,9.67,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,223502598,3,74.5,2.84,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,268068907,4,56.8,1.52,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1156375517,6,175.5,12.11,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,831022630,3,181.0,4.57,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,2513039698,5,310.2,13.17,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,756938430,3,181.5,6.23,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3018635537,6,350.5,12.72,Rural,0,Plana y levemente ondulada
Comuna 2 (San Antonio),1,523743651,5,88.6,3.34,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),0,595481584,2,171.1,9.66,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3683651480,5,380.3,14.24,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,815842511,3,169.5,5.39,Rural,0,Ondulada
Comuna 2 (San Antonio),1,425581208,5,94.6,3.08,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,297141394,4,60.6,1.35,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,380023598,3,57.7,2.57,Urbana,0,Plana
Comuna 4 (El Porvenir),1,320613520,3,57.7,2.46,Urbana,1,Plana
Comuna 4 (El Porvenir),1,303532265,4,79.2,2.84,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),0,4169309397,5,366.6,12.55,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,304677248,2,63.9,1.81,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,3717690192,6,385.1,10.35,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,496576060,3,113.8,10.3,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3663437054,6,357.2,14.09,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,373824011,4,63.1,1.59,Urbana,1,Mayormente Plana
Comuna 1 (Centro Histórico),1,244713067,3,55.6,1.51,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,704029658,3,140.5,9.88,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,324452081,4,71.8,1.62,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,871667386,3,154.4,6.94,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,322349913,4,77.5,1.67,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),0,300155223,4,79.0,2.43,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,621531936,4,189.4,4.59,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,881497133,3,171.8,7.55,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,609341746,3,139.4,10.97,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,293552455,3,52.7,2.73,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,205888628,2,59.6,1.96,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,348679503,4,56.2,1.55,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),0,858099094,4,208.9,7.82,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),1,311273057,2,75.8,2.4,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,279965808,2,64.5,1.58,Urbana,1,Plana y Ondulada
Comuna 1 (Centro Histórico),1,316544218,4,47.9,0.93,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,199082841,3,66.2,2.48,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,4124495397,6,411.5,11.07,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,460357266,4,71.1,3.25,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,650659277,3,130.2,8.02,Rural,1,Montañosa y Quebrada
Comuna 2 (San Antonio),0,600949146,4,86.3,4.2,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,255888247,3,102.2,1.55,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,400873727,4,82.1,3.09,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),0,593344719,3,139.8,10.31,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,333232087,4,74.5,1.42,Urbana,1,Mayormente Plana
Corregimiento Centro (Río Abajo),1,692533269,3,206.9,5.77,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,333306598,3,64.7,2.67,Urbana,1,Plana
Comuna 2 (San Antonio),0,415140999,5,77.6,4.36,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,254738430,3,63.0,1.46,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,592412260,4,173.8,5.9,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,530608432,2,148.6,10.72,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,491711923,3,126.6,7.88,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1207523787,5,188.6,14.7,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,569828048,4,175.9,5.04,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3691267748,6,368.4,10.19,Rural,1,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),0,246977509,2,52.5,2.46,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,310669979,4,70.3,3.12,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,750305460,3,201.8,6.16,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1266208448,5,198.5,11.05,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,296758439,2,59.4,2.06,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,240163900,2,55.6,2.1,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),1,311787766,2,56.8,1.75,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,251436272,3,73.3,1.65,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3190844916,6,306.0,7.37,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,577106090,3,151.5,10.67,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1380229740,6,235.9,16.6,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,217112778,3,50.1,2.2,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),1,262263639,2,60.7,1.8,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,4372256532,5,342.6,9.87,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),0,505966263,3,79.7,3.57,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,651723114,2,99.6,6.82,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,352724564,2,138.8,10.54,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1537958909,5,182.0,11.67,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,601915239,4,170.0,10.46,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),1,215889960,2,57.4,2.09,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,274357518,2,73.5,1.7,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),0,740040051,4,157.3,9.33,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,666857353,3,152.6,7.85,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,378630035,3,72.6,2.64,Urbana,1,Plana
Comuna 2 (San Antonio),1,531570409,4,100.4,2.88,Urbana,1,Plana
Comuna 4 (El Porvenir),1,410211158,3,43.6,2.53,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,4519900765,5,324.6,13.58,Rural,1,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),0,305225150,2,56.1,1.75,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),0,601723942,3,155.2,8.36,Rural,1,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,835807022,4,144.5,6.77,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,582388930,2,183.3,8.58,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),1,378631344,4,59.0,1.26,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,357745898,3,65.8,2.96,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,3364101440,5,368.3,10.68,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),0,893092066,4,217.0,6.11,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,297045140,3,65.4,2.4,Urbana,0,Plana
Corregimiento Sur (Cabeceras),1,1926692791,5,206.6,15.4,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3547758713,6,359.3,10.36,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),0,613401907,2,134.7,11.33,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,736330384,4,155.8,8.14,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,2498401032,5,304.8,9.29,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,611338556,2,108.0,11.54,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,175000000,3,57.0,1.64,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3603596334,5,326.3,12.99,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,328400103,3,76.3,2.17,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,3153696192,6,367.6,15.52,Rural,0,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,662321364,4,171.6,4.62,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,698167442,4,128.3,9.69,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),1,228005077,2,62.0,2.22,Urbana,1,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,209064580,3,45.9,2.41,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),0,1259410458,5,146.4,10.3,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,365745141,4,68.1,2.38,Urbana,0,Plana
Comuna 2 (San Antonio),1,347773254,5,83.9,3.69,Urbana,1,Plana
Comuna 2 (San Antonio),1,432724687,4,66.2,2.98,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,2887725106,6,238.9,12.42,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1444081061,5,207.6,13.22,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,313752646,2,53.1,1.65,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),0,2573587148,5,378.3,13.49,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1337468384,5,180.1,13.5,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,417544653,3,65.7,2.37,Urbana,1,Plana
Comuna 4 (El Porvenir),1,373283840,3,53.8,2.46,Urbana,1,Plana
Comuna 4 (El Porvenir),1,208067293,4,62.1,2.05,Urbana,1,Plana
Comuna 4 (El Porvenir),1,339800871,3,57.6,2.33,Urbana,0,Plana
Comuna 4 (El Porvenir),1,299990699,3,61.4,2.31,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1366371786,6,196.8,13.67,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1494190233,5,179.3,16.19,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,285932684,3,42.3,1.48,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,840914323,3,181.1,5.01,Rural,0,Ondulada
Comuna 2 (San Antonio),0,371569557,5,76.3,3.13,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,535904352,3,168.9,9.45,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,197383118,3,61.3,3.23,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,292978210,2,76.4,1.66,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),0,527427357,3,119.7,9.88,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1479947296,6,171.6,15.28,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,254900234,4,62.1,1.69,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,315322864,3,58.4,1.43,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,246144511,3,79.4,1.49,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,232531672,3,65.4,2.33,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1436939451,5,145.2,10.46,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,207088613,3,69.4,1.41,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),0,361416825,3,56.8,2.14,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3144577552,6,312.2,12.03,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,254717879,2,66.4,1.65,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,247920724,3,62.6,1.7,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),0,523783413,3,178.1,7.61,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),0,1881052456,5,194.4,13.32,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,973194746,4,120.4,8.06,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,245227824,2,61.7,2.28,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,224913033,3,81.1,1.26,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1437097132,5,152.2,15.84,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,2692153350,5,376.6,10.41,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,267950066,3,64.1,1.48,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,257585840,2,57.8,1.77,Urbana,0,Plana y Ondulada
Comuna 2 (San Antonio),1,469381501,5,87.6,3.33,Urbana,0,Plana
Comuna 4 (El Porvenir),1,289511108,4,66.7,2.94,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,816115580,3,216.0,6.2,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,560727648,4,95.8,9.9,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,262294793,3,71.5,2.1,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1877188431,5,171.6,17.48,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,894355108,3,226.8,6.63,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,799985702,4,209.3,6.11,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,779437881,4,236.3,5.09,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,297574282,4,59.7,1.71,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,310419540,3,76.5,3.35,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,388688892,3,69.8,1.88,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1745119933,6,179.0,16.44,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,314412483,2,71.8,1.67,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,518202933,5,82.4,3.76,Urbana,1,Plana
Comuna 4 (El Porvenir),1,425291968,4,67.4,2.66,Urbana,1,Plana
Comuna 4 (El Porvenir),0,354050716,3,65.0,2.23,Urbana,0,Plana
Corregimiento Sur (Cabeceras),0,1569319274,5,199.1,17.33,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,499399904,3,98.8,8.21,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),0,414904507,3,74.1,4.26,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,317769874,2,64.3,1.72,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,255375280,4,77.2,1.72,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,3633873294,5,364.3,8.65,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,287857176,2,67.0,1.48,Urbana,0,Mayormente Plana
